ITEM_ID,TITLE,YEAR,IMDB_RATING,IMDB_NUMBEROFVOTES,US_MATURITY_RATING_STRING,US_MATURITY_RATING,GENRES,CREATION_TIMESTAMP,PROMOTION
tt0068646,The Godfather,1972,9,1589936,R,17,Crime|Drama,63072000,FALSE
tt0102057,Hook,1991,7,231638,PG,8,Adventure|Comedy|Family|Fantasy,662688000,FALSE
tt0103950,City Hunter,1993,6,9889,PG-13,13,Action|Comedy|Crime,725846400,FALSE
tt0104361,A Grand Day Out,1989,8,31067,Not Rated,18,Animation|Short|Adventure|Comedy|Family|Sci-Fi,599616000,FALSE
tt0117110,Muppet Treasure Island,1996,7,21212,G,0,Action|Adventure|Comedy|Family|Musical|Romance,820454400,FALSE
tt0117887,That Thing You Do!,1996,7,61756,PG,8,Comedy|Drama|Music,820454400,FALSE
tt0120338,Titanic,1997,8,1031310,PG-13,13,Drama|Romance,852076800,FALSE
tt0120382,The Truman Show,1998,8,922119,PG,8,Comedy|Drama|Sci-Fi,883612800,FALSE
tt0124718,He Got Game,1998,7,43923,R,17,Drama|Sport,883612800,FALSE
tt0126029,Shrek,2001,8,605533,PG,8,Animation|Adventure|Comedy|Family|Fantasy,978307200,FALSE
tt0132347,Mystery Men,1999,6,61377,PG-13,13,Action|Comedy|Fantasy|Sci-Fi,915148800,FALSE
tt0165623,Angst,1983,7,8421,Not Rated,18,Drama|Horror|Thriller,410227200,FALSE
tt0165832,Interstate 60: Episodes of the Road,2002,8,29629,R,17,Adventure|Comedy|Drama|Fantasy,1009843200,FALSE
tt0165982,Sinbad: Legend of the Seven Seas,2003,7,48689,PG,8,Animation|Adventure|Family|Fantasy,1041379200,FALSE
tt0172156,Bad Boys II,2003,7,229251,R,17,Action|Comedy|Crime|Thriller,1041379200,FALSE
tt0172493,"Girl, Interrupted",1999,7,162040,R,17,Biography|Drama,915148800,FALSE
tt0191397,The Replacements,2000,7,57679,PG-13,13,Comedy|Sport,946684800,FALSE
tt0195234,Saving Grace,2000,7,17452,R,17,Comedy|Crime,946684800,FALSE
tt0196216,Small Time Crooks,2000,7,36537,PG,8,Comedy|Crime,946684800,FALSE
tt0196229,Zoolander,2001,6,244106,PG-13,13,Comedy,978307200,FALSE
tt0199753,Red Planet,2000,6,55018,PG-13,13,Action|Sci-Fi|Thriller,946684800,FALSE
tt0200550,Coyote Ugly,2000,6,105715,R,17,Comedy|Drama|Music|Romance,946684800,FALSE
tt0200849,My Best Fiend,1999,8,10270,Not Rated,18,Documentary|Biography,915148800,FALSE
tt0202677,The Way of the Gun,2000,7,31588,R,17,Action|Crime|Drama|Thriller,946684800,FALSE
tt0204626,The Watcher,2000,5,25674,R,17,Crime|Drama|Mystery|Thriller,946684800,FALSE
tt0204946,Bring It On,2000,6,86604,PG-13,13,Comedy|Romance|Sport,946684800,FALSE
tt0205000,Deuce Bigalow: Male Gigolo,1999,6,70195,R,17,Comedy|Romance,915148800,FALSE
tt0206314,Joy Ride,2001,7,63483,R,17,Action|Mystery|Thriller,978307200,FALSE
tt0208874,The Contender,2000,7,22706,R,17,Drama|Thriller,946684800,FALSE
tt0208990,The Son's Room,2001,7,17400,R,17,Drama,978307200,FALSE
tt0209163,The Mummy Returns,2001,6,298216,PG-13,13,Action|Adventure|Fantasy|Thriller,978307200,FALSE
tt0210065,Gangster No. 1,2000,7,13036,R,17,Crime|Drama|Thriller,946684800,FALSE
tt0210234,Pokémon the Movie 2000,1999,6,20496,G,0,Animation|Action|Adventure|Family|Fantasy,915148800,FALSE
tt0211443,Jason X,2001,4,50109,R,17,Action|Horror|Sci-Fi|Thriller,978307200,FALSE
tt0212720,A.I. Artificial Intelligence,2001,7,287906,PG-13,13,Drama|Sci-Fi,978307200,FALSE
tt0212974,Groove,2000,7,4022,R,17,Drama|Music,946684800,FALSE
tt0212985,Hannibal,2001,7,252106,R,17,Crime|Drama|Thriller,978307200,FALSE
tt0217505,Gangs of New York,2002,8,400231,R,17,Crime|Drama,1009843200,FALSE
tt0217869,Unbreakable,2000,7,382770,PG-13,13,Drama|Mystery|Sci-Fi|Thriller,946684800,FALSE
tt0218043,Beyond the Mat,1999,8,8361,R,17,Documentary|Biography|Sport,915148800,FALSE
